"filename", "language", "Dart", "comment", "blank", "total"
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\category\presentation\cubit\categories_list\categories_list_state.dart", "Dart", 16, 0, 8, 24
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\category\presentation\pages\categories_page.dart", "Dart", 16, 0, 3, 19
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\category\presentation\widgets\categories_lists.dart", "Dart", 82, 0, 12, 94
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\category\presentation\widgets\category_box.dart", "Dart", 63, 0, 6, 69
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\category\presentation\widgets\category_tile.dart", "Dart", 80, 0, 10, 90
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\data\repositories\supabase_favorites_repo.dart", "Dart", 71, 0, 10, 81
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\domain\repositories\favorites_repository.dart", "Dart", 8, 0, 2, 10
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\domain\use_cases\add_to_favorites_use_case.dart", "Dart", 9, 0, 2, 11
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\domain\use_cases\fetch_favorite_product_ids_use_case.dart", "Dart", 8, 0, 3, 11
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\domain\use_cases\get_favorite_product_ids_use_case.dart", "Dart", 8, 0, 2, 10
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\domain\use_cases\get_favorites_use_case.dart", "Dart", 9, 0, 3, 12
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\domain\use_cases\remove_from_favorites_use_case.dart", "Dart", 8, 0, 3, 11
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\presentation\cubit\favorites_list\favorites_cubit.dart", "Dart", 18, 0, 5, 23
"c:\fluuter_pr\house_of_electricity_store\lib\src\features\favorites\presentation\cubit\favorites_list\favorites_state.dart", "Dart", 13, 0, 8, 21
